Make,Model,Vehicle Class,Body Type,Seats,Fuel Type,Battery Capacity (kWh),Electric Range (km),City MPG,Highway MPG,Combined MPG,CO2 Emissions (g/km),Drive Type,Footprint
Honda,ADX AWD,Small Station Wagons,Wagon,5,Gasoline,0.0,0.0,25.0,30.0,27.0,204.4316303577864,All Wheel Drive,
Honda,ADX FWD,Small Station Wagons,Wagon,5,Gasoline,0.0,0.0,26.0,31.0,28.0,196.97515751798875,"2-Wheel Drive, Front",
Honda,INTEGRA,Large Cars,Car,5,Gasoline,0.0,0.0,30.0,37.0,33.0,167.149266158798,"2-Wheel Drive, Front",
Honda,INTEGRA,Large Cars,Car,5,Gasoline,0.0,0.0,21.0,28.0,24.0,230.5292852970783,"2-Wheel Drive, Front",
Honda,INTEGRA A-SPEC,Large Cars,Car,5,Gasoline,0.0,0.0,29.0,36.0,32.0,172.12024805199647,"2-Wheel Drive, Front",
Honda,INTEGRA A-SPEC,Large Cars,Car,5,Gasoline,0.0,0.0,26.0,36.0,30.0,182.06221183839335,"2-Wheel Drive, Front",
Honda,MDX AWD,Small SUV 4WD,SUV,5,Gasoline,0.0,0.0,19.0,25.0,21.0,262.8406676028683,All Wheel Drive,
Honda,MDX AWD Type-S,Standard SUV 4WD,SUV,5,Gasoline,0.0,0.0,17.0,21.0,19.0,294.5306771720084,All Wheel Drive,
Honda,MDX FWD,Small SUV 2WD,SUV,5,Gasoline,0.0,0.0,19.0,26.0,22.0,255.38419476307055,"2-Wheel Drive, Front",
Honda,RDX AWD,Small SUV 4WD,SUV,5,Gasoline,0.0,0.0,21.0,27.0,23.0,239.2285036101756,All Wheel Drive,
Honda,RDX AWD A-SPEC,Small SUV 4WD,SUV,5,Gasoline,0.0,0.0,21.0,26.0,23.0,239.8498763468254,All Wheel Drive,
Honda,TLX AWD A-SPEC,Compact Cars,Car,5,Gasoline,0.0,0.0,21.0,29.0,24.0,230.5292852970783,All Wheel Drive,
Honda,TLX FWD,Compact Cars,Car,5,Gasoline,0.0,0.0,22.0,31.0,25.0,218.723203300732,"2-Wheel Drive, Front",
Honda,TLX Type-S,Compact Cars,Car,5,Gasoline,0.0,0.0,19.0,25.0,21.0,260.97654939291886,All Wheel Drive,
Fca Us Llc,Giulia,Midsize Cars,Car,5,Gasoline,0.0,0.0,24.0,33.0,27.0,205.05300309443624,"2-Wheel Drive, Rear",
Fca Us Llc,Giulia AWD,Midsize Cars,Car,5,Gasoline,0.0,0.0,23.0,31.0,26.0,216.23771235413275,All Wheel Drive,
Fca Us Llc,Stelvio AWD,Small SUV 4WD,SUV,5,Gasoline,0.0,0.0,22.0,28.0,24.0,226.1796761405297,All Wheel Drive,
Fca Us Llc,Tonale AWD,Small SUV 4WD,SUV,5,Gasoline,0.0,0.0,21.0,29.0,24.0,231.1506580337281,All Wheel Drive,
Aston Martin,DB12 V8,Minicompact Cars,Car,4,Gasoline,0.0,0.0,15.0,22.0,17.0,315.03597748145205,"2-Wheel Drive, Rear",
Aston Martin,DBX 707,Standard SUV 4WD,SUV,5,Gasoline,0.0,0.0,15.0,20.0,17.0,333.05578684429645,4-Wheel Drive,
Aston Martin,Vanquish,Two Seaters,Car,2,Gasoline,0.0,0.0,13.0,21.0,16.0,349.8328507338412,"2-Wheel Drive, Rear",
Aston Martin,Vantage,Two Seaters,Car,2,Gasoline,0.0,0.0,15.0,22.0,18.0,309.4436228516038,"2-Wheel Drive, Rear",
Volkswagen Group Of,A3 quattro,Subcompact Cars,Car,5,Gasoline,0.0,0.0,24.0,34.0,28.0,197.5965302546385,All Wheel Drive,
Volkswagen Group Of,A4 allroad quattro,Small Station Wagons,Wagon,5,Gasoline,0.0,0.0,23.0,30.0,26.0,214.99496688083315,All Wheel Drive,
